No,start,end
1,001163,014082
2,014083,014522
3,014523,015378
4,015379,015548
5,015549,015710
6,016001,016150
7,016151,016236
8,016237,016326
9,016327,016444
10,016445,016486
11,016487,016516
13,016533,016562
14,016563,016590
20,017001,019464
21,019465,019512
22,019513,019572
23,019573,019624
24,019625,019662
25,020001,020040
28,020073,020106
30,020123,020148
34,020211,020238
40,020311,020346
42,020373,020396
43,020397,020454
44,020455,020508
48,020531,020560
49,020561,020586
56,020669,020700
57,021001,021584
58,021585,021778
59,022001,022210
60,022211,022372
61,022373,022478
62,022479,022516
63,022517,022546
67,022599,022692
68,022693,022820
69,023001,023050
70,023051,023138
71,023139,023216
73,023233,023316
74,023317,023350
75,023351,023468
76,023469,023530
77,023531,023570
78,023571,023604
79,023605,023644
80,023645,023774
83,024001,025368
84,025369,027090
85,027091,027640
86,027641,027728
88,028023,028090
100,028195,028310
101,028311,028410
102,028411,028482
106,028511,028618
107,028619,028668
109,029001,029692
110,030001,031128
111,031129,031168
112,031169,031216
113,031217,031300
114,031301,031348
115,031349,031392
116,031393,031528
117,031529,031576
122,032001,032150
123,032151,032212
124,032213,032260
125,032261,032308
126,032309,032424
130,032485,032640
134,032669,033094
135,033095,033254
136,033255,033274
137,033275,033296
138,033297,033484
139,033485,033626
142,033671,033732
143,033733,033786
144,034001,034050
145,034051,034140
146,034141,034212
147,034213,034346
148,034347,034442
149,034443,034480
153,034513,034588
154,034589,034670
155,034671,035102
156,035103,035242
157,035243,035300
158,035301,035364
159,035365,035402
160,035403,035434
161,035435,035486
162,035487,035560
163,035561,035676
164,035677,035718
165,035719,035760
168,036027,036054
170,036085,036138
171,036139,036230
172,036231,036410
173,036411,036546
174,036547,036594
175,036595,036734
176,037001,037162
177,037163,037186
178,037187,037252
181,037287,037312
184,037355,037376
185,037377,037474
186,037475,037556
187,037557,037750
191,038047,038084
192,038085,038118
193,038119,038208
199,038245,038286
210,038407,038434
228,038531,038559
240,038647,038734
241,038735,038768
242,039001,039070
243,039071,039141
253,039255,039286
254,039287,039324
255,039325,039354
284,039507,039529
302,039597,039652
303,039653,039708
304,039709,039748
309,040001,040034
310,040035,040072
313,040099,040600
314,040601,040622
359,041233,041558
372,042001,042244
378,042319,042346
389,042433,042476
393,042521,042568
395,042587,042636
396,042637,042676
397,042677,042718
398,042719,042770
399,043001,043186
400,043187,043406
404,043463,043576
405,043577,043612
408,043623,043652
417,043701,043760
418,044001,044280
419,044281,044532
420,044533,044596
421,044597,045114
422,045115,045234
423,045235,045266
425,045283,045310
426,045311,045460
427,045461,045580
428,045581,045626
429,045627,045742
430,045743,045824
433,046001,046054
434,046055,046094
435,046095,046158
436,046159,046190
437,046191,046218
438,046219,046268
439,046269,046292
440,046293,046352
441,046353,046694
442,047001,047134
443,047135,047204
445,047233,047284
452,047319,047392
459,047415,047446
460,047447,047476
461,047477,047500
469,047523,047562
502,047675,047706
517,048090,048096
519,048111,048114
526,048159,048296
527,048297,048344
528,048345,048460
529,048461,048546
530,048547,048636
531,048637,048680
532,048681,048712
538,049001,050348
539,050349,051394
540,051395,052618
541,052619,053318
542,053319,053628
545,053673,054080
546,054081,054236
547,054237,054334
548,054335,054380
552,054423,054470
641,055169,055200
643,055229,055258
644,055259,055282
660,055323,055358
661,055359,055388
662,055389,055480
665,055513,055618
670,055639,055682
674,055703,055720
675,056001,057246
676,057247,058130
677,058131,058162
710,058317,058416
774,058713,058792
775,058793,058814
777,059001,059054
778,059055,059074
779,059075,059120
780,059121,059186
785,059221,059236
799,059305,059374
800,059375,059420
809,059467,059482
817,059519,059562
839,059657,059728
845,059763,059778
849,060001,060011
854,060023,060154
858,060179,060206
859,060207,060232
864,060251,060270
868,060287,060326
899,060421,060436
920,060515,060576
921,060577,060616
922,060617,061076
929,061113,061128
931,061131,061158
932,061159,061184
933,061185,061204
934,061205,061238
941,061279,061296
942,061297,061311
946,061319,061332
947,061333,061350
948,061351,061372
949,061373,061400
950,061401,061521
959,061567,061710
960,061711,061742
963,062011,062019
965,062023,062046
966,062047,062108
967,062109,062168
971,062187,062326
972,062327,062348
973,062349,062500
988,062569,062588
989,062589,062610
998,062649,062686
999,062687,063078
1000,063079,063392
1006,063411,063452
1007,063453,063480
1008,063481,063516
1009,063517,063556
1010,063557,063578
1012,063591,064118
1013,064119,064170
1014,064171,064190
1015,064191,064236
1017,064261,064332
1018,064333,064400
1019,064401,064480
1021,064503,064524
1022,064525,064630
1023,064631,064676
1024,064677,064730
1025,065001,065066
1026,065067,065112
1027,065113,065140
1032,065165,065264
1033,065265,065294
1034,065295,065328
1035,065329,065366
1036,065367,065438
1037,065439,065472
1038,065473,065618
1039,065619,065772
1040,066001,066016
1041,066017,066034
1043,066059,066106
1044,066107,066130
1050,066175,066198
1051,066199,066392
1052,066393,066436
1053,066437,066474
1054,066475,066520
1055,066521,066562
1059,066611,066646
1080,067049,067222
1081,067223,067394
1082,067395,067430
1083,067431,067554
1087,067609,067646
1090,067681,067748
1102,067849,067892
1110,068001,069410
1111,069411,069486
1112,069487,070856
1113,071001,071822
1114,071823,072888
1115,073001,073072
1116,073073,073686
1117,073687,074392
1118,074393,074706
1119,074707,075170
1120,075171,075520
1121,075521,075560
1122,075561,075812
1123,075813,075898
1125,076023,076170
1126,076171,076302
1127,076303,076480
1128,076481,076544
1129,076545,076606
1130,076607,076768
1131,076769,076788
1132,076789,076820
1133,076821,077096
1138,077147,077234
1139,077235,077310
1140,077311,077332
1141,077333,077374
1142,077375,077404
1143,077405,077440
1144,077441,077472
1148,077515,077554
1149,077555,077600
1150,077601,077630
1157,077775,077810
1161,078001,078044
